code,description,last_updated
"30001003Air bubble detector for hemodialysis, each, replacement",Replacement air bubble detec,2025-09-12
"40001003Pressure alarm for hemodialysis, each, replacement",Replacement pressure alarm,2025-09-12
"50001003Bath conductivity meter for hemodialysis, each",Bath conductivity meter,2025-09-12
"60001003Blood leak detector for hemodialysis, each, replacement",Replace blood leak detector,2025-09-12
"70001003Adjustable chair, for esrd patients",Adjustable chair for esrd pt,2025-09-12
"75001003Transducer protectors/fluid barriers, for hemodialysis, any size, per 10",Transducer protect/fld bar,2025-09-12
80001003Unipuncture control system for hemodialysis,Unipuncture control system,2025-09-12
90001003Hemodialysis machine,Hemodialysis machine,2025-09-12
92001003Automatic intermittent peritoneal dialysis system,Auto interm peritoneal dialy,2025-09-12
94001003Cycler dialysis machine for peritoneal dialysis,Cycler dialysis machine,2025-09-12
00001003Delivery and/or installation charges for hemodialysis equipment,Deli/install chrg hemo equip,2025-09-12
"10001003Reverse osmosis water purification system, for hemodialysis",Reverse osmosis h2o puri sys,2025-09-12
"15001003Deionizer water purification system, for hemodialysis",Deionizer h2o puri system,2025-09-12
"20001003Blood pump for hemodialysis, replacement",Replacement blood pump,2025-09-12
"25001003Water softening system, for hemodialysis",Water softening system,2025-09-12
29001003Tablo hemodialysis system for the billable dialysis service,Tablo for dialysis service,2025-09-12
30001003Reciprocating peritoneal dialysis system,Reciprocating peritoneal dia,2025-09-12
"32001003Wearable artificial kidney, each",Wearable artificial kidney,2025-09-12
"34001003Peritoneal dialysis clamps, each",Peritoneal dialysis clamp,2025-09-12
35001003Compact (portable) travel hemodialyzer system,Compact travel hemodialyzer,2025-09-12
"36001003Sorbent cartridges, for hemodialysis, per 10",Sorbent cartridges per 10,2025-09-12
"37001003Hemostats, each","Hemostats for dialysis, each",2025-09-12
"39001003Scale, each","Scale, each",2025-09-12
"99001003Dialysis equipment, not otherwise specified",Dialysis equipment noc,2025-09-12
00001003Jaw motion rehabilitation system,Jaw motion rehab system,2025-09-12
"01001003Replacement cushions for jaw motion rehabilitation system, pkg. of 6",Repl cushions for jaw motion,2025-09-12
"02001003Replacement measuring scales for jaw motion rehabilitation system, pkg. of 200",Repl measr scales jaw motion,2025-09-12
"00001003Dynamic adjustable elbow extension and flexion device, includes soft interface",Adjust elbow ext & flex dev,2025-09-12
"01001003Static progressive stretch/patient actualized serial stretch elbow device,",Sps/pass elbow device,2025-09-12
"02001003Dynamic adjustable forearm pronation/supination device, includes soft interface",Adjst forearm pro/sup device,2025-09-12
"03001003Dynamic adjustable elbow extension only device, includes soft interface materia",Adjust elbow extension dev,2025-09-12
"04001003Dynamic adjustable elbow flexion only device, includes soft interface material",Adjust elbow flexion dev,2025-09-12
"05001003Dynamic adjustable wrist extension and flexion device, includes soft interface",Adjust wrist ext & flex dev,2025-09-12
"06001003Static progressive stretch wrist device, flexion and/or extension, with or",Sps wrist device,2025-09-12
"07001003Dynamic adjustable wrist extension only device, includes soft interface materia",Adjust wrist extension dev,2025-09-12
"08001003Dynamic adjustable wrist flexion only device, includes soft interface material",Adjust wrist flexion device,2025-09-12
"10001003Dynamic adjustable knee extension and flexion device, includes soft interface",Adjust knee ext & flex dev,2025-09-12
"11001003Static progressive stretch/patient actualized serial stretch knee device,",Sps/pass knee device,2025-09-12
"12001003Dynamic knee, extension/flexion device with active resistance control",Knee ext/flex w act res ctrl,2025-09-12
"13001003Dynamic adjustable knee extension only device, includes soft interface material",Adjust knee extension device,2025-09-12
"14001003Dynamic adjustable knee flexion only device, includes soft interface material",Adjust knee flexion device,2025-09-12
"15001003Dynamic adjustable ankle extension and flexion device, includes soft interface",Adjust ankle ext & flex dev,2025-09-12
"16001003Static progressive stretch/patient actualized serial stretch ankle device,",Sps/pass ankle device,2025-09-12
18001003Static progressive stretch/patient actualized serial stretch forearm pronation,Sps/pass forearm device,2025-09-12
"20001003Replacement soft interface material, dynamic adjustable extension/flexion devic",Soft interface material,2025-09-12
21001003Replacement soft interface material/cuffs for bi-directional static progressive,Replacement interface spsd,2025-09-12
"22001003Dynamic adjustable ankle extension only device, includes soft interface materia",Adjust ankle extension dev,2025-09-12
"23001003Dynamic adjustable ankle flexion only device, includes soft interface material",Adjust ankle flexion device,2025-09-12
"25001003Dynamic adjustable finger extension and flexion device, includes soft interface",Adjust finger ext & flex dev,2025-09-12
"26001003Dynamic adjustable finger extension only device, includes soft interface",Adjust finger extension dev,2025-09-12
"27001003Dynamic adjustable finger flexion only device, includes soft interface material",Adjust finger flexion device,2025-09-12
"28001003Dynamic adjustable toe extension only device, includes soft interface material",Adjust toe extension device,2025-09-12
"29001003Dynamic adjustable toe flexion only device, includes soft interface material",Adjust toe flexion device,2025-09-12
"30001003Dynamic adjustable toe extension and flexion device, includes soft interface",Adjust toe ext & flex device,2025-09-12
"31001003Static progressive stretch toe device, extension and/or flexion, with or",Static str toe dev ext/flex,2025-09-12
"32001003Static progressive stretch finger device, extension and/or flexion, with or",Sps finger device,2025-09-12
"40001003Dynamic adjustable shoulder flexion / abduction / rotation device, includes",Adj shoulder ext/flex device,2025-09-12
"41001003Static progressive stretch/patient actualized serial stretch shoulder device,",Sps/pass shoulder device,2025-09-12
"02001003Communication board, non-electronic augmentative or alternative communication",Aac non-electronic board,2025-09-12
"05001003Virtual reality cognitive behavioral therapy device (cbt), including",Vr cbt therapy,2025-09-12
"00001003Gastric suction pump, home model, portable or stationary, electric",Gastric suction pump hme mdl,2025-09-12
"01001003Suction pump, home model, portable or stationary, electric, any type, for use",Suct pum ext mgmt sys,2025-09-12
00001003Blood glucose monitor with integrated voice synthesizer,Bld glucose monitor w voice,2025-09-12
01001003Blood glucose monitor with integrated lancing/blood sample,Bld glucose monitor w lance,2025-09-12
"02001003Adjunctive, non-implanted continuous glucose monitor or receiver",Adju cgm receiver/monitor,2025-09-12
"03001003Non-adjunctive, non-implanted continuous glucose monitor or receiver",Non-adju cgm receiver/mon,2025-09-12
04001003Home blood glucose monitor for use with integrated lancing/blood sample testing,Glucose monitor w cartridge,2025-09-12
20001003Pulse generator system for tympanic treatment of inner ear endolymphatic fluid,Pulse gen sys tx endolymp fl,2025-09-12
"01001003Manual wheelchair accessory, nonstandard seat frame, width greater than or","Man w/ch acc seat w>=20""<24""",2025-09-12
"02001003Manual wheelchair accessory, nonstandard seat frame width, 24-27 inches",Seat width 24-27 in,2025-09-12
"03001003Manual wheelchair accessory, nonstandard seat frame depth, 20 to less than 22",Frame depth less than 22 in,2025-09-12
"04001003Manual wheelchair accessory, nonstandard seat frame depth, 22 to 25 inches",Frame depth 22 to 25 in,2025-09-12
"05001003Manual wheelchair accessory, handrim without projections (includes ergonomic or","Manual wc accessory, handrim",2025-09-12
"06001003Manual wheelchair accessory, wheel lock assembly, complete, replacement only,",Man wc whl lock comp repl ea,2025-09-12
"07001003Wheelchair accessory, crutch and cane holder, each",Crutch and cane holder,2025-09-12
"08001003Wheelchair accessory, cylinder tank carrier, each",Cylinder tank carrier,2025-09-12
"09001003Accessory, arm trough, with or without hand support, each",Arm trough each,2025-09-12
"10001003Wheelchair accessory, bearings, any type, replacement only, each",Wheelchair bearings,2025-09-12
"11001003Manual wheelchair accessory, pneumatic propulsion tire, any size, each",Pneumatic propulsion tire,2025-09-12
"12001003Manual wheelchair accessory, tube for pneumatic propulsion tire, any size, each",Pneumatic prop tire tube,2025-09-12
"13001003Manual wheelchair accessory, insert for pneumatic propulsion tire (removable),",Pneumatic prop tire insert,2025-09-12
"14001003Manual wheelchair accessory, pneumatic caster tire, any size, each",Pneumatic caster tire each,2025-09-12
"15001003Manual wheelchair accessory, tube for pneumatic caster tire, any size, each",Pneumatic caster tire tube,2025-09-12
"16001003Manual wheelchair accessory, foam filled propulsion tire, any size, each",Foam filled propulsion tire,2025-09-12
"17001003Manual wheelchair accessory, foam filled caster tire, any size, each",Foam filled caster tire each,2025-09-12
"18001003Manual wheelchair accessory, foam propulsion tire, any size, each",Foam propulsion tire each,2025-09-12
"19001003Manual wheelchair accessory, foam caster tire, any size, each",Foam caster tire any size ea,2025-09-12
"20001003Manual wheelchair accessory, solid (rubber/plastic) propulsion tire, any size,","Solid propuls tire, repl, ea",2025-09-12
"21001003Manual wheelchair accessory, solid (rubber/plastic) caster tire (removable),","Solid caster tire repl, each",2025-09-12
"22001003Manual wheelchair accessory, solid (rubber/plastic) caster tire with integrated","Solid caster integ whl, repl",2025-09-12
"24001003Manual wheelchair accessory, propulsion wheel excludes tire, any size,",Propulsion whl excl tire rep,2025-09-12
"25001003Manual wheelchair accessory, caster wheel excludes tire, any size, replacement",Caster wheel excludes tire,2025-09-12
"26001003Manual wheelchair accessory, caster fork, any size, replacement only, each",Caster fork replacement only,2025-09-12
"27001003Manual wheelchair accessory, gear reduction drive wheel, each",Gear reduction drive wheel,2025-09-12
"28001003Manual wheelchair accessory, wheel braking system and lock, complete, each","Mwc acc, wheelchair brake",2025-09-12
"30001003Manual wheelchair accessory, manual standing system",Manual standing system,2025-09-12
"31001003Manual wheelchair accessory, solid seat support base (replaces sling seat),",Solid seat support base,2025-09-12
"91001003Back, planar, for pediatric size wheelchair including fixed attaching hardware",Planar back for ped size wc,2025-09-12
"92001003Seat, planar, for pediatric size wheelchair including fixed attaching hardware",Planar seat for ped size wc,2025-09-12
"93001003Back, contoured, for pediatric size wheelchair including fixed attaching",Contour back for ped size wc,2025-09-12
"94001003Seat, contoured, for pediatric size wheelchair including fixed attaching",Contour seat for ped size wc,2025-09-12
"95001003Manual wheelchair accessory, for pediatric size wheelchair, dynamic seating",Ped dynamic seating frame,2025-09-12
"98001003Complex rehabilitative power wheelchair accessory, power seat elevation system,",Pwr seat elev sys for crt,2025-09-12
"00001003Wheelchair accessory, power seat elevation system, any type",Pwr seat elevation sys,2025-09-12
"01001003Wheelchair accessory, power standing system, any type",Pwr standing,2025-09-12
"10001003Power wheelchair accessory, electronic connection between wheelchair controller",Electro connect btw control,2025-09-12
"11001003Power wheelchair accessory, electronic connection between wheelchair controller",Electro connect btw 2 sys,2025-09-12
"12001003Power wheelchair accessory, hand or chin control interface, mini-proportional",Mini-prop remote joystick,2025-09-12
"13001003Power wheelchair accessory, harness for upgrade to expandable controller,","Pwc harness, expand control",2025-09-12
"21001003Power wheelchair accessory, hand control interface, remote joystick,",Hand interface joystick,2025-09-12
"22001003Power wheelchair accessory, hand control interface, multiple mechanical",Mult mech switches,2025-09-12
"23001003Power wheelchair accessory, specialty joystick handle for hand control",Special joystick handle,2025-09-12
"24001003Power wheelchair accessory, chin cup for chin control interface",Chin cup interface,2025-09-12
"25001003Power wheelchair accessory, sip and puff interface, nonproportional, including",Sip and puff interface,2025-09-12
"26001003Power wheelchair accessory, breath tube kit for sip and puff interface",Breath tube kit,2025-09-12
"27001003Power wheelchair accessory, head control interface, mechanical, proportional,",Head control interface mech,2025-09-12
"28001003Power wheelchair accessory, head control or extremity control interface,",Head/extremity control inter,2025-09-12
"29001003Power wheelchair accessory, head control interface, contact switch mechanism,",Head control nonproportional,2025-09-12
"30001003Power wheelchair accessory, head control interface, proximity switch mechanism,",Head control proximity switc,2025-09-12
"31001003Power wheelchair accessory, attendant control, proportional, including all",Attendant control,2025-09-12
"40001003Power wheelchair accessory, nonstandard seat frame width, 20-23 inches",W/c wdth 20-23 in seat frame,2025-09-12
"41001003Power wheelchair accessory, nonstandard seat frame width, 24-27 inches",W/c wdth 24-27 in seat frame,2025-09-12
"42001003Power wheelchair accessory, nonstandard seat frame depth, 20 or 21 inches",W/c dpth 20-21 in seat frame,2025-09-12
"43001003Power wheelchair accessory, nonstandard seat frame depth, 22-25 inches",W/c dpth 22-25 in seat frame,2025-09-12
"51001003Power wheelchair accessory, electronic interface to operate speech generating",Electronic sgd interface,2025-09-12
"58001003Power wheelchair accessory, group 34 non-sealed lead acid battery, each",Gr 34 nonsealed leadacid,2025-09-12
"59001003Power wheelchair accessory, group 34 sealed lead acid battery, each (e.g., gel",Gr34 sealed leadacid battery,2025-09-12
"60001003Power wheelchair accessory, 22nf non-sealed lead acid battery, each",22nf nonsealed leadacid,2025-09-12
"61001003Power wheelchair accessory, 22nf sealed lead acid battery, each, (e.g., gel",22nf sealed leadacid battery,2025-09-12
"62001003Power wheelchair accessory, group 24 non-sealed lead acid battery, each",Gr24 nonsealed leadacid,2025-09-12
"63001003Power wheelchair accessory, group 24 sealed lead acid battery, each (e.g., gel",Gr24 sealed leadacid battery,2025-09-12
"64001003Power wheelchair accessory, u-1 non-sealed lead acid battery, each",U1nonsealed leadacid battery,2025-09-12
"65001003Power wheelchair accessory, u-1 sealed lead acid battery, each (e.g., gel cell,",U1 sealed leadacid battery,2025-09-12
"66001003Power wheelchair accessory, battery charger, single mode, for use with only one","Battery charger, single mode",2025-09-12
"67001003Power wheelchair accessory, battery charger, dual mode, for use with either","Battery charger, dual mode",2025-09-12
"68001003Power wheelchair component, drive wheel motor, replacement only",Pwr wc drivewheel motor repl,2025-09-12
"69001003Power wheelchair component, drive wheel gear box, replacement only",Pwr wc drivewheel gear repl,2025-09-12
"70001003Power wheelchair component, integrated drive wheel motor and gear box",Pwr wc dr wh motor/gear comb,2025-09-12
"71001003Power wheelchair accessory, group 27 sealed lead acid battery, (e.g., gel cell,",Gr27 sealed leadacid battery,2025-09-12
"72001003Power wheelchair accessory, group 27 non-sealed lead acid battery, each",Gr27 non-sealed leadacid,2025-09-12
"73001003Power wheelchair accessory, hand or chin control interface, compact remote",Hand/chin ctrl spec joystick,2025-09-12
"74001003Power wheelchair accessory, hand or chin control interface, standard remote",Hand/chin ctrl std joystick,2025-09-12
"75001003Power wheelchair accessory, non-expandable controller, including all related",Non-expandable controller,2025-09-12
"76001003Power wheelchair accessory, expandable controller, including all related","Expandable controller, repl",2025-09-12
"77001003Power wheelchair accessory, expandable controller, including all related","Expandable controller, initl",2025-09-12
"78001003Power wheelchair component, actuator, replacement only",Pw actuator replacement,2025-09-12
"81001003Power wheelchair accessory, pneumatic drive wheel tire, any size, replacement",Pneum drive wheel tire,2025-09-12
"82001003Power wheelchair accessory, tube for pneumatic drive wheel tire, any size,","Tube, pneum wheel drive tire",2025-09-12
"83001003Power wheelchair accessory, insert for pneumatic drive wheel tire (removable),","Insert, pneum wheel drive",2025-09-12
"84001003Power wheelchair accessory, pneumatic caster tire, any size, replacement only,",Pneumatic caster tire,2025-09-12
"85001003Power wheelchair accessory, tube for pneumatic caster tire, any size,","Tube, pneumatic caster tire",2025-09-12
"86001003Power wheelchair accessory, foam filled drive wheel tire, any size, replacement",Foam filled drive wheel tire,2025-09-12
"87001003Power wheelchair accessory, foam filled caster tire, any size, replacement",Foam filled caster tire,2025-09-12
"88001003Power wheelchair accessory, foam drive wheel tire, any size, replacement only,",Foam drive wheel tire,2025-09-12
"89001003Power wheelchair accessory, foam caster tire, any size, replacement only, each",Foam caster tire,2025-09-12
"90001003Power wheelchair accessory, solid (rubber/plastic) drive wheel tire, any size,",Solid drive wheel tire,2025-09-12
"91001003Power wheelchair accessory, solid (rubber/plastic) caster tire (removable), any",Solid caster tire,2025-09-12
"92001003Power wheelchair accessory, solid (rubber/plastic) caster tire with integrated","Solid caster tire, integrate",2025-09-12
"94001003Power wheelchair accessory, drive wheel excludes tire, any size, replacement",Drive wheel excludes tire,2025-09-12
"95001003Power wheelchair accessory, caster wheel excludes tire, any size, replacement",Caster wheel excludes tire,2025-09-12
"96001003Power wheelchair accessory, caster fork, any size, replacement only, each",Caster fork,2025-09-12
"97001003Power wheelchair accessory, lithium-based battery, each","Pwc acc, lith-based battery",2025-09-12
"98001003Wheelchair accessory, dynamic positioning hardware for back",Wc dynamic pos back hardware,2025-09-12
"02001003Negative pressure wound therapy electrical pump, stationary or portable",Neg press wound therapy pump,2025-09-12
"00001003Speech generating device, digitized speech, using pre-recorded messages, less",Sgd digitized pre-rec <=8min,2025-09-12
"02001003Speech generating device, digitized speech, using pre-recorded messages,",Sgd prerec msg >8min <=20min,2025-09-12
"04001003Speech generating device, digitized speech, using pre-recorded messages,",Sgd prerec msg>20min <=40min,2025-09-12
"06001003Speech generating device, digitized speech, using pre-recorded messages,",Sgd prerec msg > 40 min,2025-09-12
"08001003Speech generating device, synthesized speech, requiring message formulation by",Sgd spelling phys contact,2025-09-12
"10001003Speech generating device, synthesized speech, permitting multiple methods of",Sgd w multi methods msg/accs,2025-09-12
"11001003Speech generating software program, for personal computer or personal digital",Sgd sftwre prgrm for pc/pda,2025-09-12
"12001003Accessory for speech generating device, mounting system","Sgd accessory, mounting sys",2025-09-12
"13001003Accessory for speech generating device, electromyographic sensor","Sgd accessory, emg sensor",2025-09-12
"99001003Accessory for speech generating device, not otherwise classified",Sgd accessory noc,2025-09-12
"01001003General use wheelchair seat cushion, width less than 22 inches, any depth",Gen w/c cushion wdth < 22 in,2025-09-12
"02001003General use wheelchair seat cushion, width 22 inches or greater, any depth",Gen w/c cushion wdth >=22 in,2025-09-12
"03001003Skin protection wheelchair seat cushion, width less than 22 inches, any depth",Skin protect wc cus wd <22in,2025-09-12
"04001003Skin protection wheelchair seat cushion, width 22 inches or greater, any depth",Skin protect wc cus wd>=22in,2025-09-12
"05001003Positioning wheelchair seat cushion, width less than 22 inches, any depth",Position wc cush wdth <22 in,2025-09-12
"06001003Positioning wheelchair seat cushion, width 22 inches or greater, any depth",Position wc cush wdth>=22 in,2025-09-12
"07001003Skin protection and positioning wheelchair seat cushion, width less than 22",Skin pro/pos wc cus wd <22in,2025-09-12
"08001003Skin protection and positioning wheelchair seat cushion, width 22 inches or",Skin pro/pos wc cus wd>=22in,2025-09-12
"09001003Custom fabricated wheelchair seat cushion, any size",Custom fabricate w/c cushion,2025-09-12
"10001003Wheelchair seat cushion, powered",Powered w/c cushion,2025-09-12
"11001003General use wheelchair back cushion, width less than 22 inches, any height,",Gen use back cush wdth <22in,2025-09-12
"12001003General use wheelchair back cushion, width 22 inches or greater, any height,",Gen use back cush wdth>=22in,2025-09-12
"13001003Positioning wheelchair back cushion, posterior, width less than 22 inches, any",Position back cush wd <22in,2025-09-12
"14001003Positioning wheelchair back cushion, posterior, width 22 inches or greater, any",Position back cush wd>=22in,2025-09-12
"15001003Positioning wheelchair back cushion, posterior-lateral, width less than 22",Pos back post/lat wdth <22in,2025-09-12
"16001003Positioning wheelchair back cushion, posterior-lateral, width 22 inches or",Pos back post/lat wdth>=22in,2025-09-12
"17001003Custom fabricated wheelchair back cushion, any size, including any type",Custom fab w/c back cushion,2025-09-12
"19001003Replacement cover for wheelchair seat cushion or back cushion, each",Replace cover w/c seat cush,2025-09-12
"20001003Positioning wheelchair back cushion, planar back with lateral supports, width",Wc planar back cush wd <22in,2025-09-12
"21001003Positioning wheelchair back cushion, planar back with lateral supports, width",Wc planar back cush wd>=22in,2025-09-12
"22001003Skin protection wheelchair seat cushion, adjustable, width less than 22 inches,",Adj skin pro w/c cus wd<22in,2025-09-12
"23001003Skin protection wheelchair seat cushion, adjustable, width 22 inches or",Adj skin pro wc cus wd>=22in,2025-09-12
"24001003Skin protection and positioning wheelchair seat cushion, adjustable, width less",Adj skin pro/pos cus<22in,2025-09-12
"25001003Skin protection and positioning wheelchair seat cushion, adjustable, width 22",Adj skin pro/pos wc cus>=22,2025-09-12
"26001003Wheelchair accessory, shoulder elbow, mobile arm support attached to",Seo mobile arm sup att to wc,2025-09-12
"27001003Wheelchair accessory, shoulder elbow, mobile arm support attached to",Arm supp att to wc rancho ty,2025-09-12
"28001003Wheelchair accessory, shoulder elbow, mobile arm support attached to",Mobile arm supports reclinin,2025-09-12
"29001003Wheelchair accessory, shoulder elbow, mobile arm support attached to",Friction dampening arm supp,2025-09-12
"30001003Wheelchair accessory, shoulder elbow, mobile arm support, monosuspension arm",Monosuspension arm/hand supp,2025-09-12
"31001003Wheelchair accessory, addition to mobile arm support, elevating proximal arm",Elevat proximal arm support,2025-09-12
"32001003Wheelchair accessory, addition to mobile arm support, offset or lateral rocker",Offset/lat rocker arm w/ela,2025-09-12
"33001003Wheelchair accessory, addition to mobile arm support, supinator",Mobile arm support supinator,2025-09-12
"00001003Speech volume modulation system, any type, including all components and",Speech volume modulation sys,2025-09-12
"00001003Gait modulation system, rhythmic auditory stimulation, including restricted",Gait mod systm rhym auditory,2025-09-12
"00001003Gait trainer, pediatric size, posterior support, includes all accessories and",Posterior gait trainer,2025-09-12
"01001003Gait trainer, pediatric size, upright support, includes all accessories and",Upright gait trainer,2025-09-12
"02001003Gait trainer, pediatric size, anterior support, includes all accessories and",Anterior gait trainer,2025-09-12
08001003Administration of influenza virus vaccine,Admin influenza virus vac,2025-09-12
09001003Administration of pneumococcal vaccine,Admin pneumococcal vaccine,2025-09-12
10001003Administration of hepatitis b vaccine,Admin hepatitis b vaccine,2025-09-12
11001003Individual counseling for pre-exposure prophylaxis (prep) by physician or,"Hiv prep counsel, md 15-30m",2025-09-12
"12001003Injection of pre-exposure prophylaxis (prep) drug for hiv prevention, under",Injection of hiv prep drug,2025-09-12
13001003Individual counseling for pre-exposure prophylaxis (prep) by clinical staff to,"Hiv prep counsel, clin staff",2025-09-12
17001003Psychotherapy for crisis furnished in an applicable site of service (any place,Crisis psychotherapy 60m,2025-09-12
18001003Psychotherapy for crisis furnished in an applicable site of service (any place,Crisis psychotherapy add 30m,2025-09-12
19001003Community health integration services performed by certified or trained,Comm hlth intg svs sdoh 60mn,2025-09-12
"22001003Community health integration services, each additional 30 minutes per calendar",Comm hlth intg svs add 30 m,2025-09-12
23001003Principal illness navigation services by certified or trained auxiliary,Pin service 60m per month,2025-09-12
"24001003Principal illness navigation services, additional 30 minutes per calendar month",Pin srv add 30 min pr m,2025-09-12
27001003Semen analysis; presence and/or motility of sperm excluding huhner,Semen analysis,2025-09-12
"28001003Documentation of medical reason(s) for not screening for tobacco use (e.g.,",Doc med rsn no scr tob,2025-09-12
29001003Tobacco screening not performed or tobacco cessation intervention not provided,No tob scr/cess int,2025-09-12
30001003Patient screened for tobacco use and received tobacco cessation intervention,Pt scr tob & cess int,2025-09-12
31001003Palliative care services given to patient any time during the measurement perio,Pall serv during meas,2025-09-12
32001003Two or more antipsychotic prescriptions ordered for patients who had a,2+ antipsy schiz,2025-09-12
33001003Two or more benzodiazepine prescriptions ordered for patients who had a,2+ benzo seiz,2025-09-12
34001003Patients receiving palliative care during the measurement period,Pall serv during meas,2025-09-12
35001003Patient has any emergency department encounter during the performance period,Pt ed pos 23,2025-09-12
36001003Patient or care partner decline assessment,Pt/ptn decln assess,2025-09-12
"37001003On date of encounter, patient is not able to participate in assessment or",Pt not able to participate,2025-09-12
38001003Clinician determines patient does not require referral,Clin pt no ref,2025-09-12
"39001003Patient not referred, reason not otherwise specified","Pt no ref, rn spec",2025-09-12
40001003Patient already receiving physical/occupational/speech/recreational therapy,Pt phys/occ therapy,2025-09-12
41001003Patient and/or care partner decline referral,Pt/ptn decln referral,2025-09-12
"42001003Referral to physical, occupational, speech, or recreational therapy",Ref to therapy,2025-09-12
43001003Patients with mechanical prosthetic heart valve,Pt mech pros ht valv,2025-09-12
44001003Patients with moderate or severe mitral stenosis,Pt mitral stenosis,2025-09-12
45001003Clinical follow-up and mrs score assessed at 90 days following endovascular,Mrs 90 days post stk,2025-09-12
46001003Clinical follow-up and mrs score not assessed at 90 days following endovascular,No mrs 90 days post stk,2025-09-12
47001003Pediatric patient with minor blunt head trauma and pecarn prediction criteria,Ped blunt hd traum,2025-09-12
48001003Patients who receive palliative care services any time during the intake period,Pall serv during meas,2025-09-12
49001003With maintenance hemodialysis (in-center and home hd) for the complete,Main hemo in-cntr,2025-09-12
50001003Patients with a catheter that have limited life expectancy,Pt w/ lmted life expec,2025-09-12
51001003Patients under hospice care in the current reporting month,Pt hospice mnth,2025-09-12
52001003Patients on peritoneal dialysis for any portion of the reporting month,Pt peri dialysis dur mo,2025-09-12
53001003Advancing rheumatology patient care mips value pathways,Adv rheum pt care mvp,2025-09-12
54001003Coordinating stroke care to promote prevention and cultivate positive outcomes,Strk cr prev pos outcme mvp,2025-09-12
55001003Advancing care for heart disease mips value pathways,Adv care heart dx mvp,2025-09-12
56001003Optimizing chronic disease management mips value pathways,Opt chronic dx mang mvp,2025-09-12
57001003Proposed adopting best practices and promoting patient safety within emergency,Best pct pt safety em mvp,2025-09-12
58001003Improving care for lower extremity joint repair mips value pathways,Imprv care le jnt repr mvp,2025-09-12
59001003Patient safety and support of positive experiences with anesthesia mips value,Pt sfty pos exp w aneth mvp,2025-09-12
60001003Allergy/immunology mips specialty set,Allergy/immunology ss,2025-09-12
61001003Anesthesiology mips specialty set,Anesthesiology ss,2025-09-12
62001003Audiology mips specialty set,Audiology ss,2025-09-12
63001003Cardiology mips specialty set,Cardiology ss,2025-09-12
64001003Certified nurse midwife mips specialty set,Cert nurse midwife ss,2025-09-12
65001003Chiropractic medicine mips specialty set,Chiropractic ss,2025-09-12
66001003Clinical social work mips specialty set,Clinical social work ss,2025-09-12
67001003Dentistry mips specialty set,Dentistry ss,2025-09-12
"68001003Professional services for the administration of anti-infective, pain",Adm iv infusion drug in home,2025-09-12
69001003Professional services for the administration of subcutaneous immunotherapy or,Adm sq infusion drug in home,2025-09-12
70001003Professional services for the administration of intravenous chemotherapy or,Adm of chemo drug in home,2025-09-12
71001003Payment for communication technology-based services for 5 minutes or more of a,Comm svcs by rhc/fqhc 5 min,2025-09-12
76001003Brief (20 minutes) care management home visit for a new patient. for use only,Care manag h vst new pt 20 m,2025-09-12
77001003Limited (30 minutes) care management home visit for a new patient. for use only,Care manag h vst new pt 30 m,2025-09-12
78001003Moderate (45 minutes) care management home visit for a new patient. for use,Care manag h vst new pt 45 m,2025-09-12
79001003Comprehensive (60 minutes) care management home visit for a new patient. for,Care manag h vst new pt 60 m,2025-09-12
80001003Extensive (75 minutes) care management home visit for a new patient. for use,Care manag h vst new pt 75 m,2025-09-12
81001003Brief (20 minutes) care management home visit for an existing patient. for use,Care man h v ext pt 20 mi,2025-09-12
82001003Limited (30 minutes) care management home visit for an existing patient. for,Care man h v ext pt 30 m,2025-09-12
83001003Moderate (45 minutes) care management home visit for an existing patient. for,Care man h v ext pt 45 m,2025-09-12
84001003Comprehensive (60 minutes) care management home visit for an existing patient.,Care man h v ext pt 60 m,2025-09-12
85001003Extensive (75 minutes) care management home visit for an existing patient. for,Care man h v ext pt 75 m,2025-09-12
86001003Limited (30 minutes) care management home care plan oversight. for use only in,Care man home care plan 30 m,2025-09-12
87001003Comprehensive (60 minutes) care management home care plan oversight. for use,Care man home care plan 60 m,2025-09-12
"88001003Professional services, initial visit, for the administration of anti-infective,",Adm iv drug 1st home visit,2025-09-12
"89001003Professional services, initial visit, for the administration of subcutaneous",Adm subq drug 1st home visit,2025-09-12
"90001003Professional services, initial visit, for the administration of intravenous",Adm iv chemo 1st home visit,2025-09-12
01001003Cervical or vaginal cancer screening; pelvic and clinical breast examination,Ca screen;pelvic/breast exam,2025-09-12
02001003Prostate cancer screening; digital rectal examination,Prostate ca screening; dre,2025-09-12
03001003Prostate cancer screening; prostate specific antigen test (psa),Psa screening,2025-09-12
04001003Colorectal cancer screening; flexible sigmoidoscopy,Ca screen;flexi sigmoidscope,2025-09-12
05001003Colorectal cancer screening; colonoscopy on individual at high risk,Colorectal scrn; hi risk ind,2025-09-12
"06001003Colorectal cancer screening; alternative to g0104, screening sigmoidoscopy,",Colon ca screen;barium enema,2025-09-12
"08001003Diabetes outpatient self-management training services, individual, per 30",Diab manage trn  per indiv,2025-09-12
"09001003Diabetes outpatient self-management training services, group session (2 or",Diab manage trn ind/group,2025-09-12
17001003Glaucoma screening for high risk patients furnished by an optometrist or,Glaucoma scrn hgh risk direc,2025-09-12
18001003Glaucoma screening for high risk patient furnished under the direct supervision,Glaucoma scrn hgh risk direc,2025-09-12
